Date,Nifty50,Gold,S&P 500 (USD),USD-INR
1991-01-31,318.95,6948.86,326.4,18.1
1991-02-28,324.29,6777.32,343.1,18.6
1991-03-31,381.5,7010.34,370.5,19.08
1991-04-30,372.7,6942.23,371.3,19.61
1991-05-31,397.15,7202.35,380.3,20.2
1991-06-30,400.02,7527.31,388.1,21.0
1991-07-31,393.6,7786.87,377.9,23.09
1991-08-31,498.19,9345.5,387.1,25.74
1991-09-30,524.73,8931.07,392.1,25.83
1991-10-31,548.39,9118.07,389.2,25.77
1991-11-30,559.59,9244.86,391.3,25.85
1991-12-31,563.45,9537.91,381.4,25.78
1992-01-31,572.82,9080.55,417.3,25.79
1992-02-29,673.66,9127.8,409.5,25.84
1992-03-31,982.3,9172.99,412.4,26.3
1992-04-30,1275.5,9946.86,404.2,29.0
1992-05-31,1011.1,9764.97,412.5,28.4
1992-06-30,829.92,9608.44,417.3,28.7
1992-07-31,816.88,9826.5,412.9,28.65
1992-08-31,765.72,10003.19,425.1,28.45
1992-09-30,862.98,9697.47,416.1,28.48
1992-10-31,944.85,9925.59,416.3,28.48
1992-11-30,835.5,9665.16,422.8,28.48
1992-12-31,737.28,9513.5,430.8,28.6
1993-01-31,744.92,9639.3,435.4,29.0
1993-02-28,772.75,9625.36,442.5,29.35
1993-03-31,749.89,10493.75,442.0,33.5
1993-04-30,671.36,10501.71,450.3,31.5
1993-05-31,613.44,11114.5,442.5,31.65
1993-06-30,670.25,11935.24,453.8,31.7
1993-07-31,668.67,11886.32,449.0,31.6
1993-08-31,713.06,12691.38,450.1,31.6
1993-09-30,797.94,11613.75,463.1,31.63
1993-10-31,814.33,11119.66,461.3,31.53
1993-11-30,801.68,11403.25,469.1,31.43
1993-12-31,1007.9,11718.45,461.9,31.44
1994-01-31,1083.7,12263.85,465.4,31.44
1994-02-28,1229.9,11970.46,479.6,31.44
1994-03-31,1304.4,11961.38,464.4,31.72
1994-04-30,1182.3,12207.26,438.9,31.42
1994-05-31,1148.7,11809.73,453.0,31.38
1994-06-30,1186.0,12120.64,457.6,31.38
1994-07-31,1262.0,12064.44,446.2,31.3725
1994-08-31,1308.0,12041.28,461.0,31.3725
1994-09-30,1366.3,12109.33,473.2,31.375
1994-10-31,1304.8,12332.63,461.7,31.37
1994-11-30,1283.3,12067.17,468.4,31.39
1994-12-31,1240.1,11941.78,448.9,31.4225
1995-01-31,1182.2,12022.09,459.1,31.3725
1995-02-28,1061.7,11802.96,470.4,31.3725
1995-03-31,1027.6,11804.49,485.6,31.415
1995-04-30,1005.3,12339.79,501.9,31.47
1995-05-31,908.64,12169.69,514.3,31.44
1995-06-30,1012.1,12045.73,533.5,31.42
1995-07-31,938.5,12067.52,547.1,31.41
1995-08-31,993.5,12027.22,559.6,31.42
1995-09-30,971.34,12173.66,563.8,31.925
1995-10-31,1027.5,12974.93,581.7,33.92
1995-11-30,1004.5,13177.27,584.2,34.6
1995-12-31,873.05,13480.31,607.0,34.93
1996-01-31,908.01,13608.85,620.7,35.21
1996-02-29,869.54,14966.91,638.5,36.61
1996-03-31,999.47,13762.98,644.4,34.6
1996-04-30,994.8,13422.5,653.7,34.25
1996-05-31,1137.86,13593.18,654.6,34.8
1996-06-30,1108.87,13645.19,667.7,35.1
1996-07-31,1109.0,13316.08,675.9,35.1
1996-08-31,1036.63,13711.88,650.0,35.65
1996-09-30,1036.95,13782.43,654.7,35.75
1996-10-31,936.27,13498.86,689.1,35.85
1996-11-30,906.68,13461.43,703.8,35.84
1996-12-31,820.25,13241.33,756.6,35.8
1997-01-31,939.55,13228.38,737.0,36.0
1997-02-28,948.2,12350.03,786.7,35.88
1997-03-31,1102.95,12977.63,795.3,35.86
1997-04-30,970.15,12556.25,759.6,35.89
1997-05-31,1069.0,12129.88,798.5,35.77
1997-06-30,1064.95,12313.33,846.4,35.83
1997-07-31,1200.45,11948.12,891.0,35.83
1997-08-31,1232.4,11596.29,947.1,35.8
1997-09-30,1104.7,11828.02,927.6,36.57
1997-10-31,1114.7,12198.08,955.4,36.2
1997-11-30,1084.0,11415.56,939.0,36.405
1997-12-31,1032.65,11559.12,974.8,39.45
1998-01-31,1081.2,11378.73,975.0,39.4
1998-02-28,976.6,11722.32,1001.3,38.95
1998-03-31,1098.2,11784.82,1047.7,39.6
1998-04-30,1150.1,11886.48,1108.2,39.55
1998-05-31,1185.15,12191.59,1121.0,39.82
1998-06-30,1053.75,12048.09,1091.0,41.85
1998-07-31,942.25,12523.46,1148.6,42.35
1998-08-31,906.0,12171.38,1112.4,42.6
1998-09-30,834.55,11864.83,994.3,42.65
1998-10-31,840.75,12619.06,986.4,42.5
1998-11-30,823.2,12380.47,1111.6,42.35
1998-12-31,816.65,12487.24,1175.3,42.61
1999-01-31,890.8,12230.42,1228.1,42.6
1999-02-28,940.15,12190.38,1273.0,42.55
1999-03-31,1015.8,12179.02,1236.2,42.54
1999-04-30,1063.45,11899.53,1293.7,42.5
1999-05-31,970.75,12266.48,1354.6,42.85
1999-06-30,1123.8,11463.88,1294.3,43.0
1999-07-31,1183.2,11390.28,1381.0,43.35
1999-08-31,1289.6,11060.49,1328.0,43.38
1999-09-30,1410.7,11083.91,1331.1,43.55
1999-10-31,1403.2,13413.15,1282.8,43.73
1999-11-30,1270.0,12639.14,1354.1,43.51
1999-12-31,1388.75,12561.69,1397.7,43.45
2000-01-31,1592.2,12630.95,1455.2,43.55
2000-02-29,1549.5,12336.68,1409.3,43.62
2000-03-31,1712.7,12768.98,1379.2,43.63
2000-04-30,1534.75,12102.33,1506.0,43.632
2000-05-31,1333.45,12008.0,1468.2,43.67
2000-06-30,1349.0,12149.41,1448.8,44.65
2000-07-31,1495.25,12849.33,1469.5,44.72
2000-08-31,1326.85,12535.03,1438.1,45.15
2000-09-30,1427.75,12676.91,1520.8,45.8
2000-10-31,1282.0,12569.43,1436.2,46.1
2000-11-30,1200.8,12427.39,1421.2,46.82
2000-12-31,1276.2,12614.71,1315.2,46.89
2001-01-31,1254.3,12815.44,1283.3,46.74
2001-02-28,1359.15,12418.96,1373.5,46.41
2001-03-31,1358.05,12397.26,1241.2,46.59
2001-04-30,1138.1,11936.23,1145.9,46.65
2001-05-31,1137.2,12360.48,1266.4,46.87
2001-06-30,1148.05,12477.78,1260.7,47.05
2001-07-31,1100.75,12647.34,1236.7,47.18
2001-08-31,1063.15,12596.2,1215.9,47.16
2001-09-30,1048.05,12888.45,1132.9,47.22
2001-10-31,910.1,13944.44,1038.5,48.03
2001-11-30,994.0,13468.8,1084.1,48.05
2001-12-31,1065.4,13231.64,1129.9,47.93
2002-01-31,1055.3,13345.27,1154.7,48.27
2002-02-28,1081.65,13776.25,1122.2,48.55
2002-03-31,1178.0,14393.37,1131.8,48.76
2002-04-30,1138.95,14702.29,1146.5,48.83
2002-05-31,1093.3,15089.11,1086.5,48.98
2002-06-30,1039.75,16018.1,1040.7,49.07
2002-07-31,1068.95,15244.52,968.6,48.86
2002-08-31,957.7,14705.97,884.7,48.68
2002-09-30,1013.5,15124.2,878.0,48.5
2002-10-31,955.2,15556.61,847.9,48.39
2002-11-30,951.45,15461.55,901.0,48.36
2002-12-31,1067.9,15279.79,934.5,48.32
2003-01-31,1100.15,16643.03,909.0,48.05
2003-02-28,1055.3,17660.25,860.3,47.8
2003-03-31,1058.85,16463.08,834.8,47.7
2003-04-30,984.3,15866.58,858.5,47.45
2003-05-31,938.3,16149.85,916.3,47.35
2003-06-30,1015.15,17188.84,967.0,47.15
2003-07-31,1130.7,16261.54,982.3,46.49
2003-08-31,1195.75,16264.48,980.1,46.18
2003-09-30,1375.95,17243.54,1022.0,45.88
2003-10-31,1420.85,17468.43,1018.2,45.7
2003-11-30,1601.65,17351.64,1059.0,45.32
2003-12-31,1657.65,18289.42,1070.1,45.77
2004-01-31,1912.25,18953.94,1108.5,45.68
2004-02-29,1769.0,18039.28,1135.3,45.3
2004-03-31,1852.7,18095.0,1156.0,45.32
2004-04-30,1819.65,18628.1,1132.2,43.4
2004-05-31,1766.7,17288.25,1117.5,44.88
2004-06-30,1507.9,18044.8,1121.2,45.43
2004-07-31,1537.2,18115.4,1128.9,45.88
