"Date","Price","Open","High","Low","Change %"
"10-03-2017","6.904","6.904","6.904","6.904","0.73%"
"09-03-2017","6.854","6.854","6.854","6.854","-0.15%"
"08-03-2017","6.864","6.864","6.864","6.864","0.47%"
"07-03-2017","6.832","6.832","6.832","6.832","-0.51%"
"06-03-2017","6.867","6.867","6.867","6.867","1.42%"
"03-03-2017","6.771","6.771","6.771","6.771","-0.88%"
"02-03-2017","6.831","6.831","6.831","6.831","-1.40%"
"01-03-2017","6.928","6.928","6.928","6.928","0.84%"
"28-02-2017","6.870","6.870","6.870","6.870","-0.15%"
"27-02-2017","6.880","6.880","6.880","6.880","-0.51%"
"23-02-2017","6.915","6.915","6.915","6.915","-0.29%"
"22-02-2017","6.935","6.935","6.935","6.935","0.49%"
"20-02-2017","6.901","6.901","6.901","6.901","0.76%"
"17-02-2017","6.849","6.849","6.849","6.849","0.10%"
"16-02-2017","6.842","6.842","6.842","6.842","-0.29%"
"15-02-2017","6.862","6.862","6.862","6.862","-0.19%"
"14-02-2017","6.875","6.875","6.875","6.875","0.69%"
"13-02-2017","6.828","6.828","6.828","6.828","0.34%"
"10-02-2017","6.805","6.805","6.805","6.805","-0.73%"
"09-02-2017","6.855","6.855","6.855","6.855","1.60%"
"08-02-2017","6.747","6.747","6.747","6.747","4.91%"
"07-02-2017","6.431","6.431","6.431","6.431","0.30%"
"06-02-2017","6.412","6.412","6.412","6.412","0.06%"
"03-02-2017","6.408","6.408","6.408","6.408","0.12%"
"02-02-2017","6.400","6.400","6.400","6.400","-0.40%"
"01-02-2017","6.426","6.426","6.426","6.426","0.30%"
"31-01-2017","6.407","6.407","6.407","6.407","0.03%"
"30-01-2017","6.405","6.405","6.405","6.405","0.11%"
"27-01-2017","6.398","6.398","6.398","6.398","-0.39%"
"25-01-2017","6.423","6.423","6.423","6.423","-0.22%"
"24-01-2017","6.437","6.437","6.437","6.437","-0.22%"
"23-01-2017","6.451","6.451","6.451","6.451","-0.17%"
"20-01-2017","6.462","6.462","6.462","6.462","-0.19%"
"19-01-2017","6.474","6.474","6.474","6.474","0.34%"
"18-01-2017","6.452","6.452","6.452","6.452","0.51%"
"17-01-2017","6.419","6.419","6.419","6.419","-0.33%"
"16-01-2017","6.440","6.440","6.440","6.440","0.36%"
"13-01-2017","6.417","6.417","6.417","6.417","0.71%"
"12-01-2017","6.372","6.372","6.372","6.372","-0.30%"
"11-01-2017","6.391","6.391","6.391","6.391","-0.11%"
"10-01-2017","6.398","6.398","6.398","6.398","0.06%"
"09-01-2017","6.394","6.394","6.394","6.394","0.14%"
"06-01-2017","6.385","6.385","6.385","6.385","0.00%"
"05-01-2017","6.385","6.385","6.385","6.385","0.39%"
"04-01-2017","6.360","6.360","6.360","6.360","-1.24%"
"03-01-2017","6.440","6.440","6.440","6.440","0.59%"
"02-01-2017","6.402","6.402","6.402","6.402","-1.69%"
"30-12-2016","6.512","6.512","6.512","6.512","-0.17%"
"29-12-2016","6.523","6.523","6.523","6.523","-0.88%"
"28-12-2016","6.581","6.581","6.581","6.581","-0.09%"
"27-12-2016","6.587","6.587","6.587","6.587","0.26%"
"26-12-2016","6.570","6.570","6.570","6.570","0.40%"
"23-12-2016","6.544","6.544","6.544","6.544","0.40%"
"22-12-2016","6.518","6.518","6.518","6.518","0.90%"
"21-12-2016","6.460","6.460","6.460","6.460","-0.31%"
"20-12-2016","6.480","6.480","6.480","6.480","-0.46%"
"19-12-2016","6.510","6.510","6.510","6.510","0.09%"
"16-12-2016","6.504","6.504","6.504","6.504","-0.52%"
"15-12-2016","6.538","6.538","6.538","6.538","2.09%"
"14-12-2016","6.404","6.404","6.404","6.404","-0.30%"
"13-12-2016","6.423","6.423","6.423","6.423","-0.22%"
"09-12-2016","6.437","6.437","6.437","6.437","0.58%"
"08-12-2016","6.400","6.400","6.400","6.400","-0.16%"
"07-12-2016","6.410","6.410","6.410","6.410","3.37%"
"06-12-2016","6.201","6.201","6.201","6.201","-0.24%"
"05-12-2016","6.216","6.216","6.216","6.216","-0.40%"
"02-12-2016","6.241","6.241","6.241","6.241","0.47%"
"01-12-2016","6.212","6.212","6.212","6.212","-0.50%"
"30-11-2016","6.243","6.243","6.243","6.243","-1.17%"
"29-11-2016","6.317","6.317","6.317","6.317","-0.09%"
"28-11-2016","6.323","6.323","6.323","6.323","1.51%"
"25-11-2016","6.229","6.229","6.229","6.229","0.74%"
"24-11-2016","6.183","6.183","6.183","6.183","-1.51%"
"23-11-2016","6.278","6.278","6.278","6.278","-0.46%"
"22-11-2016","6.307","6.307","6.307","6.307","0.05%"
"21-11-2016","6.304","6.304","6.304","6.304","-1.93%"
"18-11-2016","6.428","6.428","6.428","6.428","0.14%"
"17-11-2016","6.419","6.419","6.419","6.419","-0.39%"
"16-11-2016","6.444","6.444","6.444","6.444","-1.32%"
"15-11-2016","6.530","6.530","6.530","6.530","-2.86%"
"11-11-2016","6.722","6.722","6.722","6.722","0.98%"
"10-11-2016","6.657","6.657","6.657","6.657","-0.14%"
"09-11-2016","6.666","6.666","6.666","6.666","-1.91%"
"08-11-2016","6.796","6.796","6.796","6.796","-0.56%"
"07-11-2016","6.834","6.834","6.834","6.834","-0.06%"
"04-11-2016","6.838","6.838","6.838","6.838","0.22%"
"03-11-2016","6.823","6.823","6.823","6.823","-1.12%"
"02-11-2016","6.900","6.900","6.900","6.900","-0.12%"
"01-11-2016","6.908","6.908","6.908","6.908","0.33%"
"28-10-2016","6.885","6.885","6.885","6.885","-0.04%"
"27-10-2016","6.888","6.888","6.888","6.888","0.25%"
"26-10-2016","6.871","6.871","6.871","6.871","0.01%"
"25-10-2016","6.870","6.870","6.870","6.870","0.20%"
"24-10-2016","6.856","6.856","6.856","6.856","0.12%"
"21-10-2016","6.848","6.848","6.848","6.848","0.01%"
"20-10-2016","6.847","6.847","6.847","6.847","0.41%"
"19-10-2016","6.819","6.819","6.819","6.819","0.10%"
"18-10-2016","6.812","6.812","6.812","6.812","-0.47%"
"17-10-2016","6.844","6.844","6.844","6.844","-0.15%"
"15-10-2016","6.854","6.854","6.854","6.854","0.03%"
"14-10-2016","6.852","6.852","6.852","6.852","0.35%"
"13-10-2016","6.828","6.828","6.828","6.828","0.13%"
"10-10-2016","6.819","6.819","6.819","6.819","-0.42%"
"07-10-2016","6.848","6.848","6.848","6.848","0.41%"
"06-10-2016","6.820","6.820","6.820","6.820","0.34%"
"05-10-2016","6.797","6.797","6.797","6.797","-0.59%"
"04-10-2016","6.837","6.837","6.837","6.837","-0.90%"
"03-10-2016","6.899","6.899","6.899","6.899","-0.85%"
"30-09-2016","6.958","6.958","6.958","6.958","-0.78%"
"29-09-2016","7.013","7.013","7.013","7.013","1.33%"
"28-09-2016","6.921","6.921","6.921","6.921","-0.17%"
"27-09-2016","6.933","6.933","6.933","6.933","-0.01%"
"26-09-2016","6.934","6.934","6.934","6.934","-0.46%"
"24-09-2016","6.966","6.966","6.966","6.966","0.00%"
"23-09-2016","6.966","6.966","6.966","6.966","-0.16%"
"22-09-2016","6.977","6.977","6.977","6.977","-0.88%"
"21-09-2016","7.039","7.039","7.039","7.039","-0.37%"
"20-09-2016","7.065","7.065","7.065","7.065","0.18%"
"19-09-2016","7.052","7.052","7.052","7.052","0.00%"
"17-09-2016","7.052","7.052","7.052","7.052","0.01%"
"16-09-2016","7.051","7.051","7.051","7.051","-0.23%"
"15-09-2016","7.067","7.067","7.067","7.067","-0.18%"
"14-09-2016","7.080","7.080","7.080","7.080","-0.04%"
"12-09-2016","7.083","7.083","7.083","7.083","0.37%"
"09-09-2016","7.057","7.057","7.057","7.057","0.21%"
"08-09-2016","7.042","7.042","7.042","7.042","-0.18%"
"07-09-2016","7.055","7.055","7.055","7.055","-0.59%"
"06-09-2016","7.097","7.097","7.097","7.097","-0.31%"
"02-09-2016","7.119","7.119","7.119","7.119","0.01%"
"01-09-2016","7.118","7.118","7.118","7.118","0.11%"
"31-08-2016","7.110","7.110","7.110","7.110","0.04%"
"30-08-2016","7.107","7.107","7.107","7.107","-0.20%"
"29-08-2016","7.121","7.121","7.121","7.121","-0.08%"
"26-08-2016","7.127","7.127","7.127","7.127","0.07%"
"25-08-2016","7.122","7.122","7.122","7.122","-0.17%"
"24-08-2016","7.134","7.134","7.134","7.134","-0.34%"
"23-08-2016","7.158","7.158","7.158","7.158","0.03%"
"22-08-2016","7.156","7.156","7.156","7.156","0.80%"
"19-08-2016","7.099","7.099","7.099","7.099","-0.57%"
"18-08-2016","7.140","7.140","7.140","7.140","0.51%"
"16-08-2016","7.104","7.104","7.104","7.104","0.01%"
"13-08-2016","7.103","7.103","7.103","7.103","0.03%"
"12-08-2016","7.101","7.101","7.101","7.101","0.25%"
"11-08-2016","7.083","7.083","7.083","7.083","-0.25%"
"10-08-2016","7.101","7.101","7.101","7.101","-0.32%"
"09-08-2016","7.124","7.124","7.124","7.124","-0.68%"
"08-08-2016","7.173","7.173","7.173","7.173","0.07%"
"06-08-2016","7.168","7.168","7.168","7.168","0.03%"
"05-08-2016","7.166","7.166","7.166","7.166","-0.04%"
"04-08-2016","7.169","7.169","7.169","7.169","-0.35%"
