"Index Name","Date","Open","High","Low","Close"
"NIFTY 10 YR BENCHMARK G-SEC","31 Dec 2024","2443.17","2446.15","2443.16","2445.95"
"NIFTY 10 YR BENCHMARK G-SEC","30 Dec 2024","2440.67","2442.72","2440.47","2442.72"
"NIFTY 10 YR BENCHMARK G-SEC","27 Dec 2024","2440.43","2441.73","2434.88","2439.77"
"NIFTY 10 YR BENCHMARK G-SEC","26 Dec 2024","2441.29","2441.39","2439.98","2439.98"
"NIFTY 10 YR BENCHMARK G-SEC","24 Dec 2024","2440.3","2440.91","2438.57","2440.39"
"NIFTY 10 YR BENCHMARK G-SEC","23 Dec 2024","2437.45","2440.88","2437.45","2439.86"
"NIFTY 10 YR BENCHMARK G-SEC","20 Dec 2024","2436.75","2437.35","2435.43","2436.10"
"NIFTY 10 YR BENCHMARK G-SEC","19 Dec 2024","2442.46","2442.46","2435.1","2436.30"
"NIFTY 10 YR BENCHMARK G-SEC","18 Dec 2024","2440.58","2442.45","2440.57","2442.01"
"NIFTY 10 YR BENCHMARK G-SEC","17 Dec 2024","2443.2","2443.2","2439.78","2440.13"
"NIFTY 10 YR BENCHMARK G-SEC","16 Dec 2024","2444.78","2445.45","2442.63","2442.75"
"NIFTY 10 YR BENCHMARK G-SEC","13 Dec 2024","2442.37","2444.15","2439.59","2443.43"
"NIFTY 10 YR BENCHMARK G-SEC","12 Dec 2024","2444.92","2444.92","2441.92","2441.92"
"NIFTY 10 YR BENCHMARK G-SEC","11 Dec 2024","2446.6","2446.73","2443.97","2444.47"
"NIFTY 10 YR BENCHMARK G-SEC","10 Dec 2024","2444.19","2448.62","2444.18","2446.15"
"NIFTY 10 YR BENCHMARK G-SEC","09 Dec 2024","2439.85","2443.74","2439.85","2443.74"
"NIFTY 10 YR BENCHMARK G-SEC","06 Dec 2024","2448.67","2453.84","2436.17","2438.51"
"NIFTY 10 YR BENCHMARK G-SEC","05 Dec 2024","2447.28","2448.82","2446.54","2448.22"
"NIFTY 10 YR BENCHMARK G-SEC","04 Dec 2024","2441.94","2448.12","2441.76","2446.84"
"NIFTY 10 YR BENCHMARK G-SEC","03 Dec 2024","2442.12","2442.93","2439.98","2441.49"
"NIFTY 10 YR BENCHMARK G-SEC","02 Dec 2024","2434.1","2442.29","2434.1","2441.67"
"NIFTY 10 YR BENCHMARK G-SEC","29 Nov 2024","2424.1","2432.76","2424.09","2432.76"
"NIFTY 10 YR BENCHMARK G-SEC","28 Nov 2024","2422.44","2424.98","2422.44","2423.65"
