"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2024","57,199.45","56,921.65","57,382.75","56,475.95","153.20B","0.02%"
"30-12-2024","57,189.75","56,958.35","57,321.45","56,592.10","249.46B","0.37%"
"27-12-2024","56,979.80","57,266.65","57,348.95","56,950.50","102.19B","-0.26%"
"26-12-2024","57,125.70","57,150.85","57,265.20","56,654.10","120.25B","0.12%"
"24-12-2024","57,057.90","57,161.15","57,322.35","56,755.80","117.99B","-0.06%"
"23-12-2024","57,092.90","57,198.85","57,438.75","56,680.10","133.67B","0.33%"
"20-12-2024","56,906.75","58,739.45","58,800.85","56,813.45","195.44B","-2.82%"
"19-12-2024","58,556.25","57,724.80","58,607.30","57,649.30","160.43B","-0.28%"
"18-12-2024","58,723.25","59,094.20","59,119.00","58,447.20","172.61B","-0.64%"
"17-12-2024","59,101.90","59,458.20","59,654.95","59,023.05","206.41B","-0.57%"
"16-12-2024","59,443.05","59,144.55","59,483.20","59,122.80","161.63B","0.77%"
"13-12-2024","58,991.55","58,877.50","59,024.40","58,012.10","165.28B","-0.05%"
"12-12-2024","59,021.70","59,335.25","59,417.20","58,958.15","160.38B","-0.46%"
"11-12-2024","59,292.95","59,135.90","59,347.10","59,102.65","133.05B","0.27%"
"10-12-2024","59,135.40","59,062.60","59,173.55","58,834.35","173.99B","0.23%"
"09-12-2024","58,998.75","58,675.05","59,083.65","58,649.95","775.14M","0.50%"
"06-12-2024","58,704.60","58,571.70","58,768.75","58,307.55","208.70B","0.45%"
"05-12-2024","58,441.55","58,448.25","58,516.60","58,023.50","246.22B","0.57%"
"04-12-2024","58,112.40","57,734.70","58,158.80","57,621.80","213.16B","1.05%"
"03-12-2024","57,509.00","57,370.15","57,543.00","57,242.45","189.67B","0.89%"
"02-12-2024","57,000.85","56,400.65","57,060.65","56,227.15","171.56B","1.08%"
"29-11-2024","56,392.65","56,339.55","56,532.05","56,116.85","188.26B","0.16%"
"28-11-2024","56,300.75","56,414.10","56,768.95","56,169.65","196.54B","0.05%"
"27-11-2024","56,272.35","56,084.05","56,303.70","55,672.05","160.27B","0.64%"
"26-11-2024","55,914.40","56,092.20","56,354.45","55,861.40","168.96B","0.02%"
"25-11-2024","55,900.55","55,951.40","56,168.50","55,844.40","444.39B","1.61%"
"22-11-2024","55,016.85","54,460.75","55,067.80","54,354.10","162.83B","1.16%"
"21-11-2024","54,385.35","54,555.60","54,638.10","53,929.80","184.11B","-0.30%"
"19-11-2024","54,548.25","54,269.60","55,082.50","54,265.90","158.95B","0.93%"
"18-11-2024","54,044.80","54,292.00","54,369.50","53,680.20","176.27B","0.00%"
"14-11-2024","54,043.10","53,875.50","54,471.40","53,870.75","149.35B","0.45%"
"13-11-2024","53,800.85","55,065.45","55,172.45","53,635.85","177.78B","-2.64%"
"12-11-2024","55,257.50","56,067.70","56,358.75","55,131.10","152.37B","-1.07%"
"11-11-2024","55,853.75","56,221.80","56,349.30","55,751.25","172.18B","-0.88%"
"08-11-2024","56,352.00","57,201.70","57,214.85","56,207.20","208.12B","-1.33%"
"07-11-2024","57,109.15","57,628.30","57,731.55","57,037.70","178.39B","-0.43%"
"06-11-2024","57,355.80","56,452.50","57,435.10","56,369.70","228.69B","2.21%"
"05-11-2024","56,115.45","55,706.25","56,173.00","55,191.30","183.39B","0.59%"
"04-11-2024","55,784.55","56,573.95","56,573.95","55,505.10","161.70B","-1.26%"
"01-11-2024","56,496.05","56,471.15","56,657.05","56,415.70","27.04B","0.68%"
"31-10-2024","56,112.85","56,349.10","56,400.55","55,746.20","176.23B","-0.40%"
"30-10-2024","56,339.25","56,166.20","56,800.90","55,973.65","215.77B","0.16%"
"29-10-2024","56,251.30","55,979.00","56,312.60","55,239.85","204.15B","0.92%"
"28-10-2024","55,736.60","55,349.75","55,937.90","55,095.70","199.35B","0.83%"
