"Date","Price","Open","High","Low","Change %"
"May 22, 2025","44.696","44.696","45.066","44.696","-0.82%"
"May 21, 2025","45.066","45.066","45.066","44.831","0.52%"
"May 20, 2025","44.831","44.831","45.306","44.831","-1.05%"
"May 19, 2025","45.306","45.306","45.441","45.306","-0.30%"
"May 16, 2025","45.441","45.441","45.494","45.441","-0.11%"
"May 15, 2025","45.494","45.494","45.494","44.777","1.60%"
"May 14, 2025","44.777","44.777","44.777","44.616","0.36%"
"May 13, 2025","44.616","44.616","45.245","44.616","-1.39%"
"May 12, 2025","45.245","45.245","45.245","43.581","3.82%"
"May 09, 2025","43.581","43.581","44.063","43.581","-1.09%"
"May 08, 2025","44.063","44.063","44.318","44.063","-0.58%"
"May 07, 2025","44.318","44.318","44.318","44.256","0.14%"
"May 06, 2025","44.256","44.256","44.403","44.256","-0.33%"
"May 05, 2025","44.403","44.403","44.403","44.403","0.47%"
"May 02, 2025","44.196","44.196","44.196","44.196","0.05%"
"Apr 30, 2025","44.173","44.173","44.177","44.173","-0.01%"
"Apr 29, 2025","44.177","44.177","44.177","44.163","0.03%"
"Apr 28, 2025","44.163","44.163","44.163","44.163","1.22%"
"Apr 25, 2025","43.631","43.631","43.631","43.631","-0.86%"
"Apr 24, 2025","44.008","44.008","44.008","44.008","-0.34%"
"Apr 23, 2025","44.157","44.157","44.157","43.863","0.67%"
"Apr 22, 2025","43.863","43.863","43.863","43.863","0.17%"
"Apr 21, 2025","43.788","43.788","43.788","43.788","1.15%"
"Apr 17, 2025","43.292","43.292","43.292","43.292","1.77%"
"Apr 16, 2025","42.540","42.540","42.540","42.540","0.46%"
"Apr 15, 2025","42.344","42.344","42.344","42.344","2.19%"
"Apr 11, 2025","41.438","41.438","41.438","41.438","1.92%"
"Apr 09, 2025","40.659","40.659","40.659","40.659","-0.61%"
"Apr 08, 2025","40.907","40.907","40.907","40.231","1.68%"
"Apr 07, 2025","40.231","40.231","41.581","40.231","-3.25%"
"Apr 04, 2025","41.581","41.581","42.208","41.581","-1.49%"
"Apr 03, 2025","42.208","42.208","42.208","42.208","-0.35%"
"Apr 02, 2025","42.358","42.358","42.358","42.056","0.72%"
"Apr 01, 2025","42.056","42.056","42.695","42.056","-1.50%"
"Mar 31, 2025","42.695","42.695","42.695","42.695","0.00%"
"Mar 28, 2025","42.695","42.695","42.827","42.695","-0.31%"
"Mar 27, 2025","42.827","42.827","42.827","42.640","0.44%"
"Mar 26, 2025","42.640","42.640","42.970","42.640","-0.77%"
"Mar 25, 2025","42.970","42.970","42.970","42.951","0.04%"
"Mar 24, 2025","42.951","42.951","42.951","42.393","1.32%"
"Mar 21, 2025","42.393","42.393","42.393","42.103","0.69%"
"Mar 20, 2025","42.103","42.103","42.103","41.590","1.23%"
"Mar 19, 2025","41.590","41.590","41.590","41.457","0.32%"
"Mar 18, 2025","41.457","41.457","41.457","41.457","1.44%"
"Mar 17, 2025","40.867","40.867","40.867","40.867","0.50%"
"Mar 13, 2025","40.665","40.665","40.665","40.665","-0.33%"
"Mar 12, 2025","40.799","40.799","40.799","40.799","-0.12%"
"Mar 11, 2025","40.848","40.848","40.848","40.848","0.17%"
"Mar 10, 2025","40.778","40.778","40.778","40.778","-0.41%"
"Mar 07, 2025","40.945","40.945","40.945","40.945","0.04%"
"Mar 06, 2025","40.931","40.931","40.931","40.931","0.92%"
"Mar 05, 2025","40.556","40.556","40.556","40.556","1.15%"
"Mar 04, 2025","40.095","40.095","40.095","40.095","-0.17%"
"Mar 03, 2025","40.161","40.161","40.161","40.161","-0.03%"
"Feb 28, 2025","40.171","40.171","40.171","40.171","-1.86%"
"Feb 27, 2025","40.933","40.933","40.933","40.933","-0.01%"
"Feb 26, 2025","40.938","40.938","40.938","40.938","0.00%"
"Feb 25, 2025","40.938","40.938","40.938","40.938","-0.03%"
"Feb 24, 2025","40.948","40.948","40.948","40.948","-1.06%"
"Feb 21, 2025","41.388","41.388","41.388","41.388","-0.51%"
"Feb 20, 2025","41.601","41.601","41.601","41.601","-0.09%"
"Feb 19, 2025","41.637","41.637","41.637","41.637","-0.05%"
"Feb 18, 2025","41.660","41.660","41.660","41.660","-0.06%"
"Feb 17, 2025","41.686","41.686","41.686","41.686","0.13%"
"Feb 14, 2025","41.631","41.631","41.631","41.631","-0.44%"
"Feb 13, 2025","41.816","41.816","41.816","41.816","-0.06%"
"Feb 12, 2025","41.841","41.841","41.841","41.841","-0.06%"
"Feb 11, 2025","41.865","41.865","41.865","41.865","-1.32%"
"Feb 10, 2025","42.426","42.426","42.426","42.426","-0.76%"
"Feb 07, 2025","42.750","42.750","42.750","42.750","-0.15%"
"Feb 06, 2025","42.813","42.813","42.813","42.813","-0.38%"
"Feb 05, 2025","42.977","42.977","42.977","42.977","-0.18%"
"Feb 04, 2025","43.055","43.055","43.055","43.055","1.61%"
"Feb 03, 2025","42.371","42.371","42.371","42.371","-0.63%"
"Jan 31, 2025","42.638","42.638","42.638","42.638","1.14%"
