"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2024","224,478","222,858","224,896","222,614","","0.76%"
"30-12-2024","222,782","223,755","224,792","221,953","","-0.42%"
"27-12-2024","223,717","224,487","226,205","223,113","","-0.32%"
"26-12-2024","224,435","222,862","225,033","222,731","","0.81%"
"25-12-2024","222,639","222,655","222,731","222,590","","0.03%"
"24-12-2024","222,582","222,350","223,360","222,151","","0.14%"
"23-12-2024","222,267","222,764","224,040","221,894","","-0.16%"
"20-12-2024","222,628","220,795","223,622","220,398","","0.88%"
"19-12-2024","220,694","219,508","223,575","219,325","","0.60%"
"18-12-2024","219,383","224,677","225,186","219,367","","-2.35%"
"17-12-2024","224,662","225,308","225,756","223,582","","-0.21%"
"16-12-2024","225,142","224,669","226,277","224,181","","0.26%"
"13-12-2024","224,559","227,434","228,602","224,398","","-1.23%"
"12-12-2024","227,350","230,437","231,300","227,043","","-1.29%"
"11-12-2024","230,324","228,657","230,831","226,981","","0.79%"
"10-12-2024","228,516","225,759","228,793","225,502","","1.30%"
"09-12-2024","225,579","223,158","227,121","222,531","","1.19%"
"06-12-2024","222,923","222,962","224,058","221,361","","0.06%"
"05-12-2024","222,793","224,506","225,005","222,245","","-0.72%"
"04-12-2024","224,403","223,843","225,085","223,126","","0.27%"
"03-12-2024","223,808","223,657","224,937","223,286","","0.13%"
"02-12-2024","223,525","224,418","224,689","221,822","","-0.38%"
"29-11-2024","224,381","223,125","225,388","222,522","","0.61%"
"28-11-2024","223,016","222,543","223,935","221,260","","0.16%"
"27-11-2024","222,655","222,041","224,381","221,563","","0.29%"
"26-11-2024","222,020","221,158","222,725","219,548","","0.48%"
"25-11-2024","220,968","229,239","229,773","220,419","","-3.51%"
"22-11-2024","229,013","225,446","229,096","225,394","","1.64%"
"21-11-2024","225,327","223,523","225,971","223,400","","0.78%"
"20-11-2024","223,590","222,169","224,033","220,959","","0.67%"
"19-11-2024","222,106","220,402","222,828","220,309","","0.78%"
"18-11-2024","220,378","216,273","220,742","216,273","","1.92%"
"15-11-2024","216,228","216,678","217,516","215,755","","-0.15%"
"14-11-2024","216,549","217,185","217,943","214,107","","-0.28%"
"13-11-2024","217,160","219,276","221,021","217,159","","-0.94%"
"12-11-2024","219,219","221,048","221,712","218,564","","-0.75%"
"11-11-2024","220,876","226,598","226,727","220,353","","-2.48%"
"08-11-2024","226,497","228,129","228,539","226,153","","-0.68%"
"07-11-2024","228,052","224,237","228,429","222,897","","1.74%"
"06-11-2024","224,146","230,807","231,441","223,707","","-2.87%"
"05-11-2024","230,775","230,260","231,279","229,285","","0.28%"
"04-11-2024","230,127","229,897","231,163","229,534","","0.04%"
"01-11-2024","230,042","230,674","232,203","229,776","","-0.26%"
"31-10-2024","230,649","234,393","234,642","229,733","","-1.58%"
"30-10-2024","234,349","233,294","234,619","232,977","","0.50%"
"29-10-2024","233,193","230,559","233,312","230,397","","1.17%"
"28-10-2024","230,496","230,000","230,849","229,111","","-0.25%"
"25-10-2024","231,067","230,008","231,118","228,407","","0.52%"
"24-10-2024","229,872","228,332","230,637","228,265","","0.75%"
"23-10-2024","228,152","231,119","231,955","227,762","","-1.26%"
"22-10-2024","231,073","228,781","231,143","228,592","","1.09%"
"21-10-2024","228,583","228,814","230,404","228,212","","-0.08%"
"18-10-2024","228,756","226,367","228,912","226,204","","1.10%"
"17-10-2024","226,275","224,627","226,689","224,559","","0.79%"
"16-10-2024","224,495","223,810","225,659","223,456","","0.37%"
"15-10-2024","223,664","222,711","224,375","221,792","","0.48%"
"14-10-2024","222,594","223,487","224,208","222,233","","-0.35%"
"11-10-2024","223,371","220,759","223,864","220,632","","1.25%"
"10-10-2024","220,620","218,952","220,925","218,664","","0.78%"
"09-10-2024","218,918","220,171","220,310","218,734","","-0.52%"
"08-10-2024","220,062","221,961","222,771","218,731","","-0.82%"
"07-10-2024","221,887","222,775","223,425","221,568","","-0.47%"
"04-10-2024","222,933","223,121","224,308","221,197","","-0.04%"
"03-10-2024","223,030","223,169","223,686","221,724","","0.00%"
"02-10-2024","223,032","223,496","223,642","221,771","","-0.15%"
"01-10-2024","223,361","220,746","224,392","220,596","","1.23%"
"30-09-2024","220,641","222,553","223,207","219,911","","-0.83%"
"27-09-2024","222,498","223,498","223,739","221,284","","-0.40%"
"26-09-2024","223,395","222,167","224,597","222,032","","0.58%"
"25-09-2024","222,117","222,188","223,235","221,540","","0.01%"
"24-09-2024","222,098","219,590","222,776","219,203","","1.20%"
"23-09-2024","219,459","218,895","220,243","218,312","","0.26%"
"20-09-2024","218,894","216,322","219,268","216,154","","1.21%"
"19-09-2024","216,270","214,110","217,123","213,658","","1.04%"
"18-09-2024","214,035","215,262","217,534","213,080","","-0.52%"
"17-09-2024","215,164","216,579","216,941","214,534","","-0.57%"
"16-09-2024","216,408","216,261","217,290","216,007","","0.09%"
"13-09-2024","216,215","214,767","216,955","214,540","","0.70%"
"12-09-2024","214,710","210,906","214,878","210,837","","1.82%"
"11-09-2024","210,878","211,343","212,360","210,021","","-0.14%"
"10-09-2024","211,172","210,412","211,501","209,930","","0.44%"
"09-09-2024","210,238","209,725","210,508","208,616","","0.25%"
"06-09-2024","209,713","211,379","212,284","208,607","","-0.75%"
"05-09-2024","211,290","209,540","211,954","209,414","","0.86%"
"04-09-2024","209,483","209,401","209,950","207,527","","0.14%"
"03-09-2024","209,186","209,810","210,457","207,715","","-0.22%"
"02-09-2024","209,640","209,909","210,467","208,912","","-0.13%"
"30-08-2024","209,922","211,513","211,949","209,159","","-0.74%"
"29-08-2024","211,478","210,004","212,088","209,990","","0.65%"
"28-08-2024","210,114","211,972","212,249","209,391","","-0.76%"
"27-08-2024","211,734","211,218","212,005","210,098","","0.30%"
"26-08-2024","211,099","210,493","212,083","210,315","","0.27%"
"23-08-2024","210,540","208,559","211,106","208,237","","1.01%"
"22-08-2024","208,443","210,725","211,006","207,454","","-1.02%"
"21-08-2024","210,593","210,689","211,461","209,295","","0.07%"
"20-08-2024","210,444","209,895","212,106","209,287","","0.22%"
"19-08-2024","209,977","210,430","210,601","208,564","","-0.17%"
"16-08-2024","210,337","206,278","210,555","205,709","","1.99%"
"15-08-2024","206,225","205,533","207,366","204,261","","0.36%"
"14-08-2024","205,484","206,871","208,134","204,649","","-0.65%"
"13-08-2024","206,821","207,582","207,926","206,402","","-0.23%"
"12-08-2024","207,289","204,100","207,624","203,442","","1.58%"
"09-08-2024","204,064","203,888","204,598","202,779","","0.10%"
"08-08-2024","203,865","199,949","203,935","199,840","","1.99%"
"07-08-2024","199,888","200,766","202,072","199,633","","-0.37%"
"06-08-2024","200,626","202,382","203,055","199,912","","-0.95%"
"05-08-2024","202,554","204,744","206,029","198,953","","-1.07%"
"02-08-2024","204,737","204,765","207,488","201,993","","0.04%"
"01-08-2024","204,653","204,870","206,139","203,481","","-0.06%"
"31-07-2024","204,775","201,848","205,218","201,280","","1.56%"
"30-07-2024","201,621","199,677","202,040","199,012","","0.99%"
"29-07-2024","199,649","199,881","201,223","198,476","","-0.07%"
"26-07-2024","199,783","197,953","200,165","197,289","","0.94%"
"25-07-2024","197,926","200,745","201,094","197,044","","-1.34%"
"24-07-2024","200,624","201,649","203,581","200,635","","-0.45%"
"23-07-2024","201,523","200,507","201,951","199,726","","0.53%"
"22-07-2024","200,461","200,984","201,965","199,438","","-0.27%"
"19-07-2024","201,004","204,408","204,486","200,385","","-1.65%"
"18-07-2024","204,371","205,529","206,975","203,993","","-0.50%"
"17-07-2024","205,408","206,242","207,499","204,929","","-0.38%"
"16-07-2024","206,198","202,417","206,324","202,256","","1.89%"
"15-07-2024","202,371","201,403","203,863","200,635","","0.50%"
"12-07-2024","201,363","201,715","202,055","199,739","","-0.15%"
"11-07-2024","201,667","198,042","202,435","197,963","","1.85%"
"10-07-2024","198,003","197,385","199,317","197,252","","0.36%"
"09-07-2024","197,299","197,126","197,980","196,174","","0.18%"
"08-07-2024","196,951","199,737","199,743","196,230","","-1.37%"
"05-07-2024","199,688","196,763","199,843","196,553","","1.53%"
"04-07-2024","196,677","196,815","197,301","196,305","","-0.04%"
"03-07-2024","196,755","194,548","197,428","194,296","","1.16%"
"02-07-2024","194,497","194,632","194,981","193,563","","-0.02%"
"01-07-2024","194,534","193,934","195,160","193,423","","0.31%"
"28-06-2024","193,935","194,264","195,014","193,504","","-0.14%"
"27-06-2024","194,213","192,046","194,545","191,765","","1.21%"
"26-06-2024","191,892","193,539","193,855","191,655","","-0.79%"
"25-06-2024","193,423","194,874","195,034","193,188","","-0.64%"
"24-06-2024","194,679","194,000","194,909","193,646","","0.35%"
"21-06-2024","193,994","197,375","197,980","193,530","","-1.70%"
"20-06-2024","197,342","194,073","197,828","194,068","","1.64%"
"19-06-2024","194,154","194,145","194,804","193,842","","0.04%"
"18-06-2024","194,075","193,668","194,500","192,427","","0.28%"
"17-06-2024","193,529","194,860","194,967","192,968","","-0.69%"
"14-06-2024","194,875","192,462","195,241","192,231","","1.27%"
"13-06-2024","192,431","193,922","194,345","191,787","","-0.70%"
"12-06-2024","193,796","193,786","195,457","193,069","","0.06%"
"11-06-2024","193,684","193,006","193,935","191,854","","0.42%"
"10-06-2024","192,877","191,776","193,266","190,961","","0.72%"
"07-06-2024","191,494","198,345","199,284","190,922","","-3.43%"
"06-06-2024","198,303","196,324","198,551","196,249","","1.06%"
"05-06-2024","196,231","194,418","196,613","194,134","","1.01%"
"04-06-2024","194,264","195,380","196,341","193,485","","-0.49%"
"03-06-2024","195,213","194,097","195,711","192,275","","0.56%"
"31-05-2024","194,119","195,204","196,733","193,671","","-0.59%"
"30-05-2024","195,277","194,872","195,890","193,753","","0.24%"
"29-05-2024","194,807","196,222","196,658","194,652","","-0.80%"
"28-05-2024","196,374","195,455","196,647","194,576","","0.52%"
"27-05-2024","195,351","193,915","196,066","193,737","","0.78%"
"24-05-2024","193,832","193,889","195,081","193,639","","-0.01%"
"23-05-2024","193,853","197,994","198,502","193,722","","-2.05%"
"22-05-2024","197,916","201,668","202,125","197,681","","-1.80%"
"21-05-2024","201,543","202,118","202,772","200,491","","-0.25%"
