,Date,Closing Price
0,2014-01-01,27.66
1,2014-02-03,28.5
2,2014-03-03,27.07
3,2014-04-01,27.86
4,2014-05-01,24.92
5,2014-06-01,26.07
6,2014-07-01,25.69
7,2014-08-01,25.71
8,2014-09-01,24.7
9,2014-10-01,24.27
10,2014-11-03,24.43
11,2014-12-01,24.64
12,2015-01-01,25.79
13,2015-02-02,24.4
14,2015-03-02,23.99
15,2015-04-01,24.84
16,2015-05-01,24.6
17,2015-06-01,24.2
18,2015-07-01,22.7
19,2015-08-03,24.31
20,2015-09-01,23.87
21,2015-10-01,24.41
22,2015-11-02,22.92
23,2015-12-01,22.79
24,2016-01-01,24.23
25,2016-02-01,26.49
26,2016-03-01,25.64
27,2016-04-01,27.17
28,2016-05-02,26.46
29,2016-06-01,27.77
30,2016-07-01,27.96
31,2016-08-01,28.12
32,2016-09-01,28.25
33,2016-10-03,27.84
34,2016-11-02,26.46
35,2016-12-01,25.65
36,2017-01-01,26.31
37,2017-02-01,27.02
38,2017-03-01,26.13
39,2017-04-03,26.41
40,2017-05-01,26.18
41,2017-06-01,25.77
42,2017-07-03,25.71
43,2017-08-01,26.53
44,2017-09-01,26.66
45,2017-10-02,26.37
46,2017-11-01,26.3
47,2017-12-01,26.27
48,2018-01-01,27.09
49,2018-02-01,27.3
50,2018-03-01,27.46
51,2018-04-02,27.75
52,2018-05-01,27.78
53,2018-06-01,27.13
54,2018-07-02,26.5
55,2018-08-01,27.05
56,2018-09-03,27.03
57,2018-10-01,28.37
58,2018-11-01,26.99
59,2018-12-03,28.02
60,2019-01-01,29.35
61,2019-02-01,29.5
62,2019-03-01,28.08
63,2019-04-01,28.15
64,2019-05-01,28.38
65,2019-06-03,29.98
66,2019-07-01,30.66
67,2019-08-01,33.8
68,2019-09-02,32.97
69,2019-10-01,34.07
70,2019-11-01,33.41
71,2019-12-02,34.45
72,2020-01-01,35.87
73,2020-02-03,37.37
74,2020-03-02,38.21
75,2020-04-01,42.57
76,2020-05-01,40.99
77,2020-06-01,42.61
78,2020-07-01,47.14
79,2020-08-03,45.34
80,2020-09-01,44.18
81,2020-10-01,44.32
82,2020-11-02,42.84
83,2020-12-01,43.75
84,2021-01-01,42.65
85,2021-02-01,40.25
86,2021-03-01,38.17
87,2021-04-01,40.59
88,2021-05-03,42.59
89,2021-06-01,40.52
90,2021-07-01,41.92
91,2021-08-02,40.83
92,2021-09-01,39.72
93,2021-10-01,41.5
94,2021-11-01,41.51
95,2021-12-01,41.48
96,2022-01-03,41.25
97,2022-02-01,43.59
98,2022-03-01,44.12
99,2022-04-01,44.79
100,2022-05-02,43.95
101,2022-06-01,43.76
102,2022-07-01,44.06
103,2022-08-01,43.9
104,2022-09-01,43.16
105,2022-10-03,43.23
106,2022-11-01,45.1
107,2022-12-01,46.79
108,2023-01-02,48.67
109,2023-02-01,47.41
110,2023-03-01,51.07
111,2023-04-03,51.25
112,2023-05-01,51.13
113,2023-06-01,49.31
114,2023-07-03,50.66
115,2023-08-01,50.35
116,2023-09-01,49.29
117,2023-10-02,52.06
118,2023-11-01,53.15
119,2023-12-01,53.66
120,2024-01-01,53.35
121,2024-02-01,52.78
122,2024-03-01,56.61
123,2024-04-01,60.88
124,2024-05-01,61.29
125,2024-06-03,60.63
126,2024-07-01,58.68
127,2024-08-01,60.66
128,2024-09-02,63.55
129,2024-10-01,66.92
130,2024-11-01,64.29
131,2024-12-02,64.09
132,2025-01-01,69.08
133,2025-02-03,71.1
134,2025-03-03,74.16
135,2025-04-01,79.09
136,2025-05-02,79.52
